Source_Tissue,Track_order_inner_to_outer,Source,Tissue,Chromosome,Total_validated_mapped_peptide_rows,Sampled_points_plotted
PXD004720_node,17,PXD004720,node,Chr1B,4474,100
PXD004720_node,17,PXD004720,node,Chr1D,4711,100
PXD004720_node,17,PXD004720,node,Chr2A,5015,100
PXD004720_node,17,PXD004720,node,Chr2B,5197,100
PXD004720_node,17,PXD004720,node,Chr2D,5250,100
PXD004720_node,17,PXD004720,node,Chr3A,4297,100
PXD004720_node,17,PXD004720,node,Chr3B,4808,100
PXD004720_node,17,PXD004720,node,Chr3D,4556,100
PXD004720_node,17,PXD004720,node,Chr4A,4857,100
PXD004720_node,17,PXD004720,node,Chr4B,4090,100
PXD004720_node,17,PXD004720,node,Chr4D,4248,100
PXD004720_node,17,PXD004720,node,Chr5A,4917,100
PXD004720_node,17,PXD004720,node,Chr5B,5305,100
PXD004720_node,17,PXD004720,node,Chr5D,5485,100
PXD004720_node,17,PXD004720,node,Chr6A,3995,100
PXD004720_node,17,PXD004720,node,Chr6B,4439,100
PXD004720_node,17,PXD004720,node,Chr6D,3993,100
PXD004720_node,17,PXD004720,node,Chr7A,4519,100
PXD004720_node,17,PXD004720,node,Chr7B,4226,100
PXD004720_node,17,PXD004720,node,Chr7D,4676,100
PXD004720_node,17,PXD004720,node,ChrUnknown,1178,100
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr1A,7542,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr1B,7442,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr1D,7809,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr2A,9022,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr2B,8913,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr2D,9220,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr3A,7562,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr3B,8295,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr3D,8126,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr4A,8362,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr4B,7227,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr4D,7221,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr5A,8523,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr5B,8976,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr5D,9153,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr6A,6650,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr6B,7211,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr6D,6840,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr7A,7721,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr7B,7176,150
PXD004720_node_secretion,18,PXD004720,node_secretion,Chr7D,7905,150
PXD004720_node_secretion,18,PXD004720,node_secretion,ChrUnknown,1668,150
PXD004720_palea,19,PXD004720,palea,Chr1A,5232,100
PXD004720_palea,19,PXD004720,palea,Chr1B,5352,100
PXD004720_palea,19,PXD004720,palea,Chr1D,5609,100
PXD004720_palea,19,PXD004720,palea,Chr2A,6176,100
PXD004720_palea,19,PXD004720,palea,Chr2B,6226,100
PXD004720_palea,19,PXD004720,palea,Chr2D,6273,100
PXD004720_palea,19,PXD004720,palea,Chr3A,4711,100
PXD004720_palea,19,PXD004720,palea,Chr3B,5415,100
PXD004720_palea,19,PXD004720,palea,Chr3D,5269,100
PXD004720_palea,19,PXD004720,palea,Chr4A,5580,100
PXD004720_palea,19,PXD004720,palea,Chr4B,4759,100
PXD004720_palea,19,PXD004720,palea,Chr4D,4857,100
PXD004720_palea,19,PXD004720,palea,Chr5A,5771,100
PXD004720_palea,19,PXD004720,palea,Chr5B,6171,100
PXD004720_palea,19,PXD004720,palea,Chr5D,6469,100
PXD004720_palea,19,PXD004720,palea,Chr6A,4807,100
PXD004720_palea,19,PXD004720,palea,Chr6B,5365,100
PXD004720_palea,19,PXD004720,palea,Chr6D,4688,100
PXD004720_palea,19,PXD004720,palea,Chr7A,5556,100
PXD004720_palea,19,PXD004720,palea,Chr7B,5046,100
PXD004720_palea,19,PXD004720,palea,Chr7D,5715,100
PXD004720_palea,19,PXD004720,palea,ChrUnknown,1238,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr1A,6464,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr1B,6613,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr1D,6320,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr2A,6284,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr2B,6316,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr2D,6397,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr3A,5916,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr3B,6455,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr3D,6351,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr4A,6869,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr4B,6059,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr4D,5680,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr5A,7087,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr5B,7430,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr5D,6985,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr6A,4830,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr6B,5357,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr6D,4790,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr7A,5963,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr7B,5433,100
PXD004720_pericarp,20,PXD004720,pericarp,Chr7D,5816,100
PXD004720_pericarp,20,PXD004720,pericarp,ChrUnknown,1230,100
PXD004720_pollen,21,PXD004720,pollen,Chr1A,3544,100
PXD004720_pollen,21,PXD004720,pollen,Chr1B,3744,100
PXD004720_pollen,21,PXD004720,pollen,Chr1D,3601,100
PXD004720_pollen,21,PXD004720,pollen,Chr2A,3481,100
PXD004720_pollen,21,PXD004720,pollen,Chr2B,3729,100
PXD004720_pollen,21,PXD004720,pollen,Chr2D,3664,100
PXD004720_pollen,21,PXD004720,pollen,Chr3A,2849,100
PXD004720_pollen,21,PXD004720,pollen,Chr3B,3399,100
PXD004720_pollen,21,PXD004720,pollen,Chr3D,3141,100
PXD004720_pollen,21,PXD004720,pollen,Chr4A,3907,100
PXD004720_pollen,21,PXD004720,pollen,Chr4B,3081,100
PXD004720_pollen,21,PXD004720,pollen,Chr4D,3011,100
PXD004720_pollen,21,PXD004720,pollen,Chr5A,3863,100
PXD004720_pollen,21,PXD004720,pollen,Chr5B,4045,100
PXD004720_pollen,21,PXD004720,pollen,Chr5D,3945,100
PXD004720_pollen,21,PXD004720,pollen,Chr6A,3174,100
PXD004720_pollen,21,PXD004720,pollen,Chr6B,3556,100
PXD004720_pollen,21,PXD004720,pollen,Chr6D,2990,100
PXD004720_pollen,21,PXD004720,pollen,Chr7A,3731,100
PXD004720_pollen,21,PXD004720,pollen,Chr7B,3310,100
PXD004720_pollen,21,PXD004720,pollen,Chr7D,3821,100
PXD004720_pollen,21,PXD004720,pollen,ChrUnknown,748,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr1A,7084,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr1B,7389,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr1D,7434,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr2A,8350,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr2B,8426,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr2D,8486,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr3A,6762,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr3B,7600,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr3D,7377,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr4A,7785,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr4B,6803,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr4D,6629,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr5A,8117,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr5B,8760,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr5D,8806,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr6A,6432,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr6B,7092,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr6D,6318,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr7A,7527,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr7B,6813,100
PXD004720_rachilla,22,PXD004720,rachilla,Chr7D,7658,100
PXD004720_rachilla,22,PXD004720,rachilla,ChrUnknown,1571,100
PXD004720_radicle,23,PXD004720,radicle,Chr1A,9008,129
PXD004720_radicle,23,PXD004720,radicle,Chr1B,9349,131
PXD004720_radicle,23,PXD004720,radicle,Chr1D,9039,134
PXD004720_radicle,23,PXD004720,radicle,Chr2A,9653,134
PXD004720_radicle,23,PXD004720,radicle,Chr2B,10330,133
PXD004720_radicle,23,PXD004720,radicle,Chr2D,9843,139
PXD004720_radicle,23,PXD004720,radicle,Chr3A,8745,132
PXD004720_radicle,23,PXD004720,radicle,Chr3B,9683,138
PXD004720_radicle,23,PXD004720,radicle,Chr3D,9544,125
PXD004720_radicle,23,PXD004720,radicle,Chr4A,9896,137
PXD004720_radicle,23,PXD004720,radicle,Chr4B,8970,127
PXD004720_radicle,23,PXD004720,radicle,Chr4D,8265,126
PXD004720_radicle,23,PXD004720,radicle,Chr5A,9918,136
PXD004720_radicle,23,PXD004720,radicle,Chr5B,10700,138
PXD004720_radicle,23,PXD004720,radicle,Chr5D,10070,136
PXD004720_radicle,23,PXD004720,radicle,Chr6A,7638,123
PXD004720_radicle,23,PXD004720,radicle,Chr6B,8226,124
PXD004720_radicle,23,PXD004720,radicle,Chr6D,7500,123
PXD004720_radicle,23,PXD004720,radicle,Chr7A,8905,123
PXD004720_radicle,23,PXD004720,radicle,Chr7B,8086,127
PXD004720_radicle,23,PXD004720,radicle,Chr7D,9064,127
PXD004720_radicle,23,PXD004720,radicle,ChrUnknown,1506,102
PXD004720_root_mature,24,PXD004720,root_mature,Chr1A,4335,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr1B,4545,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr1D,4257,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr2A,5120,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr2B,5661,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr2D,5066,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr3A,4106,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr3B,4633,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr3D,4277,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr4A,4503,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr4B,4092,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr4D,3684,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr5A,5115,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr5B,5329,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr5D,4797,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr6A,3856,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr6B,4465,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr6D,3686,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr7A,4673,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr7B,4386,100
PXD004720_root_mature,24,PXD004720,root_mature,Chr7D,4743,100
PXD004720_root_mature,24,PXD004720,root_mature,ChrUnknown,1058,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr1A,4579,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr1B,4794,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr1D,4520,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr2A,5176,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr2B,5743,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr2D,5133,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr3A,4029,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr3B,4611,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr3D,4378,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr4A,4798,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr4B,4465,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr4D,4048,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr5A,5276,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr5B,5644,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr5D,5077,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr6A,4240,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr6B,4768,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr6D,3933,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr7A,4696,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr7B,4438,100
PXD004720_root_secretion,25,PXD004720,root_secretion,Chr7D,4781,100
PXD004720_root_secretion,25,PXD004720,root_secretion,ChrUnknown,958,100
PXD004720_root_tip,26,PXD004720,root_tip,Chr1A,8990,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr1B,9269,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr1D,8847,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr2A,9436,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr2B,9924,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr2D,9547,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr3A,8554,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr3B,9396,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr3D,9323,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr4A,9656,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr4B,8598,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr4D,8197,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr5A,10138,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr5B,10780,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr5D,10436,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr6A,7684,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr6B,8422,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr6D,7442,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr7A,8599,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr7B,8017,150
PXD004720_root_tip,26,PXD004720,root_tip,Chr7D,8720,150
PXD004720_root_tip,26,PXD004720,root_tip,ChrUnknown,1287,150
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr1A,5285,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr1B,5461,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr1D,5191,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr2A,5690,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr2B,6015,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr2D,5571,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr3A,4894,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr3B,5474,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr3D,5458,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr4A,5749,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr4B,4925,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr4D,4731,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr5A,5558,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr5B,6156,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr5D,5627,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr6A,4438,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr6B,4890,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr6D,4218,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr7A,5146,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr7B,4763,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,Chr7D,5067,100
PXD004720_root_vasculature,27,PXD004720,root_vasculature,ChrUnknown,1008,100
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr1A,8854,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr1B,9103,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr1D,8986,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr2A,9307,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr2B,9575,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr2D,9395,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr3A,8017,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr3B,8863,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr3D,8831,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr4A,9613,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr4B,8027,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr4D,7816,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr5A,9445,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr5B,10140,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr5D,10028,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr6A,7644,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr6B,8399,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr6D,7359,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr7A,9166,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr7B,8403,150
PXD004720_spike_immature,28,PXD004720,spike_immature,Chr7D,9408,150
PXD004720_spike_immature,28,PXD004720,spike_immature,ChrUnknown,1646,150
PXD004720_stem,29,PXD004720,stem,Chr1A,2624,100
PXD004720_stem,29,PXD004720,stem,Chr1B,2704,100
PXD004720_stem,29,PXD004720,stem,Chr1D,2683,100
PXD004720_stem,29,PXD004720,stem,Chr2A,3143,100
PXD004720_stem,29,PXD004720,stem,Chr2B,3228,100
PXD004720_stem,29,PXD004720,stem,Chr2D,3253,100
PXD004720_stem,29,PXD004720,stem,Chr3A,2737,100
PXD004720_stem,29,PXD004720,stem,Chr3B,3055,100
PXD004720_stem,29,PXD004720,stem,Chr3D,2882,100
PXD004720_stem,29,PXD004720,stem,Chr4A,3066,100
PXD004720_stem,29,PXD004720,stem,Chr4B,2567,100
PXD004720_stem,29,PXD004720,stem,Chr4D,2473,100
PXD004720_stem,29,PXD004720,stem,Chr5A,2935,100
PXD004720_stem,29,PXD004720,stem,Chr5B,3235,100
PXD004720_stem,29,PXD004720,stem,Chr5D,3132,100
PXD004720_stem,29,PXD004720,stem,Chr6A,2418,100
PXD004720_stem,29,PXD004720,stem,Chr6B,2629,100
PXD004720_stem,29,PXD004720,stem,Chr6D,2411,100
PXD004720_stem,29,PXD004720,stem,Chr7A,2917,100
PXD004720_stem,29,PXD004720,stem,Chr7B,2654,100
PXD004720_stem,29,PXD004720,stem,Chr7D,2877,100
PXD004720_stem,29,PXD004720,stem,ChrUnknown,558,100
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr1A,78106,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr1B,83843,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr1D,78724,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr2A,97421,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr2B,101875,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr2D,98142,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr3A,90076,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr3B,98927,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr3D,93486,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr4A,87396,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr4B,76595,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr4D,73169,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr5A,91197,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr5B,96292,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr5D,94267,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr6A,70219,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr6B,79026,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr6D,67726,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr7A,85964,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr7B,83093,400
PXD050500_coleoptile,30,PXD050500,coleoptile,Chr7D,86483,400
PXD050500_coleoptile,30,PXD050500,coleoptile,ChrUnknown,17169,400
PXD050500_node,31,PXD050500,node,Chr1A,79627,400
PXD050500_node,31,PXD050500,node,Chr1B,85973,400
PXD050500_node,31,PXD050500,node,Chr1D,79791,400
PXD050500_node,31,PXD050500,node,Chr2A,97745,400
PXD050500_node,31,PXD050500,node,Chr2B,104180,400
PXD050500_node,31,PXD050500,node,Chr2D,99779,400
PXD050500_node,31,PXD050500,node,Chr3A,92177,400
PXD050500_node,31,PXD050500,node,Chr3B,101330,400
PXD050500_node,31,PXD050500,node,Chr3D,95557,400
PXD050500_node,31,PXD050500,node,Chr4A,88783,400
PXD050500_node,31,PXD050500,node,Chr4B,77042,400
PXD050500_node,31,PXD050500,node,Chr4D,73172,400
PXD050500_node,31,PXD050500,node,Chr5A,92249,400
PXD050500_node,31,PXD050500,node,Chr5B,98046,400
PXD050500_node,31,PXD050500,node,Chr5D,96311,400
PXD050500_node,31,PXD050500,node,Chr6A,71855,400
PXD050500_node,31,PXD050500,node,Chr6B,80616,400
PXD050500_node,31,PXD050500,node,Chr6D,69275,400
PXD050500_node,31,PXD050500,node,Chr7A,88612,400
PXD050500_node,31,PXD050500,node,Chr7B,85697,400
PXD050500_node,31,PXD050500,node,Chr7D,88803,400
PXD050500_node,31,PXD050500,node,ChrUnknown,17795,400
PXD050500_radicle,32,PXD050500,radicle,Chr1A,45430,400
PXD050500_radicle,32,PXD050500,radicle,Chr1B,48738,400
PXD050500_radicle,32,PXD050500,radicle,Chr1D,44977,400
PXD050500_radicle,32,PXD050500,radicle,Chr2A,55489,400
PXD050500_radicle,32,PXD050500,radicle,Chr2B,57956,400
PXD050500_radicle,32,PXD050500,radicle,Chr2D,55384,400
PXD050500_radicle,32,PXD050500,radicle,Chr3A,52320,400
PXD050500_radicle,32,PXD050500,radicle,Chr3B,57266,400
PXD050500_radicle,32,PXD050500,radicle,Chr3D,53514,400
PXD050500_radicle,32,PXD050500,radicle,Chr4A,50192,400
PXD050500_radicle,32,PXD050500,radicle,Chr4B,44311,400
PXD050500_radicle,32,PXD050500,radicle,Chr4D,41564,400
PXD050500_radicle,32,PXD050500,radicle,Chr5A,51988,400
PXD050500_radicle,32,PXD050500,radicle,Chr5B,55222,400
PXD050500_radicle,32,PXD050500,radicle,Chr5D,53140,400
PXD050500_radicle,32,PXD050500,radicle,Chr6A,40348,400
PXD050500_radicle,32,PXD050500,radicle,Chr6B,45700,400
PXD050500_radicle,32,PXD050500,radicle,Chr6D,38890,400
PXD050500_radicle,32,PXD050500,radicle,Chr7A,49504,400
PXD050500_radicle,32,PXD050500,radicle,Chr7B,48305,400
PXD050500_radicle,32,PXD050500,radicle,Chr7D,50119,400
PXD050500_radicle,32,PXD050500,radicle,ChrUnknown,9821,400
